,count,conn
EntRel,108,[]
Expansion.Restatement,108,"['much as', 'in particular', 'overall']"
Expansion.Conjunction,87,"['and', 'also', 'in turn', 'additionally', 'furthermore', 'finally', 'moreover', 'in addition']"
Contingency.Cause.Reason,40,['because']
Comparison.Contrast,29,"['while', 'however', 'but', 'whereas', 'yet', 'in contrast', 'by comparison']"
Contingency.Cause.Result,22,"['thus', 'as a result']"
Temporal.Synchrony,12,"['when', 'as']"
Comparison.Concession,5,"['although', 'nevertheless', 'when']"
Expansion.Alternative.Chosen alternative,4,['instead']
Expansion.Instantiation,4,"['for instance', 'for example']"
Temporal.Asynchronous.Precedence,4,"['before', 'then', 'thereafter']"
Temporal.Asynchronous.Succession,2,"['after', 'once', 'previously']"
